ID ; latitude ; longitude ; name ; phone ; email ; address ; address ; address ; address ; address ; href ; 
2028 ; 51.5174235 ; -0.1304698 ; POMME DE PAIN LONDRES ; +44 (0)2076366060 ;  ; 260 Tottenham Court Road ; LONDON ;  ;  ;  ; /fr/pomme-de-pain-londres ; 
1642 ; 52.444734 ; 15.109604 ; OSTROW (SILO) ;  ;  ; Ul.Wiejska 1 ; OSTROW ;  ;  ;  ; /fr/ostrow-silo ; 
1639 ; 52.946073 ; 17.2884089 ; GOLANCZ (SILO) ;  ;  ; Ul.Margoninska 8 ; GOLANCZ ;  ;  ;  ; /fr/golancz-silo ; 
1633 ; 50.8886291 ; -1.396658 ; SOUTHAMPTON GRAIN TERMINAL LTD ; 00 44 2 380 334 433 ;  ; 36 Berth, Test Road - Eastern Docks ; SOUTHAMPTON ;  ;  ;  ; /fr/southampton-grain-terminal-ltd ; 
1601 ; 52.3869221 ; 17.0024459 ; POZNAN (MALTERIE) ; +48.61.650.10.10 ;  ; Ul Folwarczn 22 ; POZNAN ;  ;  ;  ; /fr/poznan-malterie ; 
2042 ; 52.800945232281 ; -1.6532492637634 ; SOUFFLET MALT UK ; 441283501263 ;  ;  ;  ;  ;  ;  ; /fr/soufflet-malt-uk ; 
1640 ; 50.7713123 ; 17.0538448 ; STREZLIN (SILO) ; (+48) 696 068 933 ;  ;  ;  ;  ;  ;  ; /fr/strezlin-silo ; 
1641 ; 52.079811 ; 16.663429 ; KOSCIAN (SILO) ; (+48) 660 670 615 ;  ;  ;  ;  ;  ;  ; /fr/koscian-silo ; 
1638 ; 52.3856663 ; 16.9955925 ; POZNAN ; 48 61 650 10 96 ;  ;  ;  ;  ;  ;  ; /fr/poznan ; 
1629 ; 36.752887 ; 3.042048 ; SOUFFLET ALGERIE ;  ;  ; 16 Rue D'auzia - Hydra ; 16405 ; ALGER ; Algérie ;  ; /fr/soufflet-algerie ; 
1538 ; 49.10331 ; 8.64052 ; AIT ALLEMAGNE ; +49 (0) 7251 50 60 ;  ; Markgraffenstrasse 41-43 / Po Box 1330 Heidelsheim ; 76603 ; BRUCHSAL ; Allemagne ;  ; /fr/ait-allemagne ; 
1617 ; 49.7546948 ; 8.4815034 ; GERNSHEIM (MALTERIE) ; 4 972 515 060 ;  ; Durst Malz Mainzer Strasse 15-16 ; 64579 ; GERNSHEIM ; Allemagne ;  ; /fr/gernsheim-malterie ; 
1616 ; 51.59151 ; 7.29645 ; CASTROP-RAUXEL (MALTERIE) ; 49230594660 ;  ; Durst Malz Weserstrasse 31 ; 44579 ; CASTROP- RAUXEL ; Allemagne ;  ; /fr/castrop-rauxel-malterie ; 
1615 ; 49.1249712 ; 8.5844108 ; BRUCHSAL (MALTERIE) ; 4972515060 ;  ; Durst Malz Markgraffenstrasse 41-43 ; 76603 ; BRUCHSAL ; Allemagne ;  ; /fr/bruchsal-malterie ; 
2041 ; -35.1136496 ; -60.4923647 ; CERFOLY ;  ;  ; Bragado (6640) ; BUENOS AIRES ; Argentine ;  ;  ; /fr/cerfoly ; 
1534 ; -34.6584744 ; -58.4306102 ; AIT ARGENTINE ; 54 11 4918-4029 ;  ; Condor 2320 ; 1437 ; BUENOS AIRES ; Buenos Aires ; Argentine ; /fr/ait-argentine-0 ; 
1619 ; 50.8960734 ; 4.4030751 ; CERES (MOULIN) ; 00 32 22 40 06 00 ; ceres@ceres.be ; 300 Avenue De Vilvorde ; 1130 ; BRUXELLES ; Belgique ;  ; /fr/ceres-moulin ; 
2043 ; -25.428095 ; -49.187776 ; AIT BRASIL ; +55 41 3668-8163 ;  ; R. Salgado Filho ; Pinhais ; PR ; 83324-010 ; Brésil ; /fr/ait-brasil ; 
1618 ; -23.0309385 ; -45.5483236 ; TAUBATE (MALTERIE) ; 551236259400 ;  ; Av. José Benedito Miguel De Paula ; TAUBATE ; 1251571 ; Brésil ;  ; /fr/taubate-malterie ; 
1614 ; 41.9344366 ; 25.5554462 ; HASKOVO (MALTERIE) ; 360000000000 ;  ; Zone Industrielle Nord ; 6300 ; HASKOVO ; Bulgarie ;  ; /fr/haskovo-malterie ; 
1613 ; 43.4170423 ; 24.6066847 ; PLEVEN (MALTERIE) ; 35964805034 ;  ; 5 Vit Street ; 5800 ; PLEVEN ; Bulgarie ;  ; /fr/pleven-malterie ; 
1650 ; 50.3172143 ; 14.3616619 ; VRANANY (SILO) ;  ;  ; 277 07 ; VRANANY ; Tchéquie ;  ;  ; /fr/vranany-silo ; 
1649 ; 50.3374343 ; 14.8015235 ; CHOTETOV (SILO) ;  ;  ; Nâdranì_ 42 ; 294 28 ; CHOTETOV ; Tchéquie ;  ; /fr/chotetov-silo ; 
1648 ; 50.0761111 ; 14.2358333 ; LITOVICE (SILO) ;  ;  ; Litovickìa 672 ; 253 01 ; LITOVICE ; Tchéquie ;  ; /fr/litovice-silo ; 
1647 ; 49.3528107 ; 17.30356 ; KOJETIN (SILO) ;  ;  ; Krenovskìa 1375 ; 752 01 ; KOJETIN ; Tchéquie ;  ; /fr/kojetin-silo ; 
