sep=;
50.1206222 ; 2.744725 ; engrais/semences ; ACHIET LE PETIT ; https://ternoveo.com/wp-content/uploads/2014/12/ACHIET-LE-PETIT-200x80.jpg ; Lieu dit Les Cerisiers, 62121 Achiet Le Petit ; achietlepetit091@ternoveo.fr ; 03.21.23.40.75 ; 03.21.59.26.37 ; 
49.6197806 ; 3.60670556 ; collecte/engrais/phytos ; AULNOIS SOUS LAON ; https://ternoveo.com/wp-content/uploads/2015/07/AULNOIS-SOUS-LAON-200x80.jpg ; Rue de l'Église, 02000 Aulnois-sous-Laon ; aulnoissouslaon053@ternoveo.fr ; 03.23.23.48.91 ; 03.23.23.48.91 ; 
49.6114611 ; 3.62342222 ; collecte ; AULNOIS SOUS LAON (ex scora) ; https://ternoveo.com/wp-content/uploads/2015/07/AULNOIS-SOUS-LAON2-200x80.jpg ; Route de Crécy - 02000 Aulnois sous Laon ; aulnoissouslaon034@ternoveo.fr ;  ;  ; 
49.7111278 ; 3.81088333 ; collecte/engrais ; AUTREMENCOURT ; https://ternoveo.com/wp-content/uploads/2015/07/AUTREMENCOURT-200x80.jpg ; Ferme d'Eraulcourt - 02250 Autremencourt ; autremencourt032@ternoveo.fr ; 03.23.80.29.5 ; 03.23.80.29.5 ; 
50.7185611 ; 2.80748056 ; collecte ; BAILLEUL ;  ; CD 933 Le Seau - 59270 Bailleul ;  ;  ;  ; 
50.84885833 ; 1.93461667 ; collecte ; BALINGHEM ; https://ternoveo.com/wp-content/uploads/2015/07/BALINGHEM-200x80.jpg ; Lieu dit 4 Rue du Camp du Drap d'Or - 62610 Balinghem ;  ;  ;  ; 
50.06851389 ; 3.20130833 ; collecte/phytos/semences ; BANTEUX ; https://ternoveo.com/wp-content/uploads/2015/07/BANTEUX-200x80.jpg ; Rue de Cambrai - 59266 Banteux ; banteux040@ternoveo.fr ; 03.27.78.50.52 ; 03.27.78.85.35 ; 
50.21095833 ; 2.16742778 ; collecte/engrais ; BEAUVOIR-WAVANS ; https://ternoveo.com/wp-content/uploads/2015/07/BEAUVOIR-200x80.jpg ; 8 Route de Maizicourt, 62390 Beauvoir-Wavans ;  ; 03.21.03.14.44 ;  ; 
49.92381111 ; 3.24071944 ; collecte/engrais ; BELLENGLISE ; https://ternoveo.com/wp-content/uploads/2015/07/BELLENGLISE-200x80.jpg ; Chemin du Vieux Port - 02420 Bellenglise ; bellenglise161@ternoveo.fr ; 03.23.62.37.98 ; 03.23.64.69.23 ; 
50.25239167 ; 3.52766667 ; collecte/engrais ; BERMERAIN ; https://ternoveo.com/wp-content/uploads/2016/04/BERMERAIN2-200x80.jpg ; 305 Rue du General de Gaulle  59213  BERMERAIN ; bermerain061@ternoveo.fr ; 03.27.27.15.16 ; 03.27.27.21.07 ; 
50.12398333 ; 2.95248611 ; collecte/engrais ; BEUGNY ; https://ternoveo.com/wp-content/uploads/2015/07/BEUGNY-200x80.jpg ; Lieu dit La Raperie - 3 route nationale - 62124 Morchies ; beugny075@ternoveo.fr ; 03.21.73.76.59 ;  ; 
50.15977778 ; 3.38481944 ; collecte ; BEVILLERS ; https://ternoveo.com/wp-content/uploads/2015/07/BEVILLERS-200x80.jpg ; Route de Boussières  - 59217 Bevillers ;  ;  ;  ; 
50.9703 ; 2.419675 ; collecte/engrais ; BIERNE ; https://ternoveo.com/wp-content/uploads/2015/07/BIERNE-200x80.jpg ; Route de Bergues - 59380 Bierne ; bierne066@ternoveo.fr ; 03.28.68.61.55 ; 03.28.68.76.06 ; 
50.12240833 ; 2.79678889 ; collecte ; BIHUCOURT ; https://ternoveo.com/wp-content/uploads/2015/07/BIHUCOURT-200x80.jpg ; 15 Rue de la Sucrerie  62121  BIHUCOURT ;  ;  ;  ; 
49.51921111 ; 3.16485833 ; collecte ; Blérancourt ;  ; 02093 Blérancourt ;  ;  ;  ; 
